cuenta_id,nombre,saldo,edad,tipo
101,John Doe,7180,20,prestamo
102,Bob Johnson,3131,28,hipoteca
103,John Doe,6415,47,hipoteca
104,John Doe,3518,38,hipoteca
105,Diana Prince,11086,71,hipoteca
106,Steve Rogers,10382,53,prestamo
107,Diana Prince,6207,51,ahorro
108,Charlie Green,2117,68,hipoteca
109,Charlie Green,9798,43,ahorro
110,Jane Smith,11868,39,prestamo
111,Jane Smith,13331,57,hipoteca
112,Charlie Green,14495,66,hipoteca
113,Diana Prince,6668,46,ahorro
114,Charlie Green,11176,33,ahorro
115,Bob Johnson,7248,68,ahorro
116,Charlie Green,12861,36,ahorro
117,Steve Rogers,13623,41,hipoteca
118,Alice Brown,8975,20,prestamo
119,Jane Smith,6248,50,ahorro
120,Jane Smith,13670,52,hipoteca
121,John Doe,4453,60,hipoteca
122,Steve Rogers,12229,45,ahorro
123,Steve Rogers,12513,74,hipoteca
124,Diana Prince,14381,22,hipoteca
125,John Doe,8523,63,prestamo
126,John Doe,1889,29,prestamo
127,Charlie Green,14461,32,prestamo
128,Alice Brown,11325,43,prestamo
129,Alice Brown,12031,25,hipoteca
130,Diana Prince,11131,22,hipoteca
131,Diana Prince,14897,22,prestamo
132,John Doe,5748,68,hipoteca
133,John Doe,5612,66,prestamo
134,Steve Rogers,11825,19,prestamo
135,Jane Smith,3234,65,prestamo
136,Steve Rogers,9941,36,hipoteca
137,Diana Prince,14025,73,hipoteca
138,John Doe,10068,73,hipoteca
139,John Doe,1082,54,hipoteca
140,Charlie Green,2394,37,ahorro
141,Diana Prince,6633,31,prestamo
142,Steve Rogers,9397,27,ahorro
143,Charlie Green,14676,34,ahorro
144,Diana Prince,14101,54,ahorro
145,Charlie Green,8557,59,hipoteca
146,Diana Prince,2103,34,ahorro
147,Charlie Green,8982,39,prestamo
148,Diana Prince,4842,24,prestamo
149,Jane Smith,6206,49,prestamo
150,Diana Prince,6008,62,hipoteca
151,Charlie Green,6971,69,prestamo
152,Jane Smith,1079,38,ahorro
153,Diana Prince,13121,59,prestamo
154,Bob Johnson,3200,61,hipoteca
155,Alice Brown,8583,46,prestamo
156,Alice Brown,10038,24,ahorro
157,John Doe,14791,35,ahorro
158,Jane Smith,5312,64,hipoteca
159,John Doe,1305,72,hipoteca
160,Steve Rogers,10533,55,prestamo
161,Jane Smith,1600,53,prestamo
162,Charlie Green,8734,59,ahorro
163,Jane Smith,13650,55,hipoteca
164,Jane Smith,8613,50,hipoteca
165,Bob Johnson,9227,18,hipoteca
166,Steve Rogers,11060,61,ahorro
167,Jane Smith,8310,28,ahorro
168,Charlie Green,11803,73,ahorro
169,Alice Brown,6878,20,ahorro
170,Jane Smith,2029,34,prestamo
171,Diana Prince,4387,51,prestamo
172,Alice Brown,1760,20,hipoteca
173,Diana Prince,9542,58,prestamo
174,Bob Johnson,10480,52,hipoteca
175,Diana Prince,7201,41,hipoteca
176,Steve Rogers,2275,51,prestamo
177,Jane Smith,9460,43,prestamo
178,Bob Johnson,8976,68,prestamo
179,John Doe,9222,74,ahorro
180,Jane Smith,2263,50,hipoteca
181,Jane Smith,4062,28,prestamo
182,Steve Rogers,2938,60,ahorro
183,Bob Johnson,12800,25,prestamo
184,Alice Brown,4452,55,ahorro
185,Alice Brown,1367,33,ahorro
186,Charlie Green,3639,26,hipoteca
187,Charlie Green,3406,21,ahorro
188,Jane Smith,9464,43,hipoteca
189,Diana Prince,1305,74,hipoteca
190,Steve Rogers,5644,23,ahorro
191,Alice Brown,8891,28,ahorro
