cuenta_id,nombre,saldo,edad,tipo
101,John Doe,10118,72,hipoteca
102,Steve Rogers,8572,24,ahorro
103,Bob Johnson,4899,23,prestamo
104,Steve Rogers,6657,23,prestamo
105,Charlie Green,2807,73,prestamo
106,Bob Johnson,10658,42,prestamo
107,Diana Prince,2368,47,hipoteca
108,Alice Brown,3834,60,hipoteca
109,Alice Brown,14711,75,prestamo
110,Alice Brown,8834,25,prestamo
111,John Doe,4378,48,hipoteca
112,Diana Prince,2689,38,hipoteca
113,John Doe,5883,48,prestamo
114,Bob Johnson,9702,27,hipoteca
115,Steve Rogers,7008,66,ahorro
116,Charlie Green,6732,57,prestamo
117,John Doe,5069,70,prestamo
118,Alice Brown,11870,42,ahorro
119,Diana Prince,14517,69,prestamo
120,Diana Prince,5806,22,ahorro
121,Steve Rogers,8483,65,hipoteca
122,Charlie Green,5490,48,hipoteca
123,Steve Rogers,14804,36,prestamo
124,Alice Brown,10351,71,prestamo
125,Diana Prince,8286,49,prestamo
126,Jane Smith,7564,55,hipoteca
127,Charlie Green,1793,25,hipoteca
128,Alice Brown,13994,32,hipoteca
129,Diana Prince,11593,47,prestamo
130,Bob Johnson,9431,53,ahorro
131,Alice Brown,14701,61,ahorro
132,Steve Rogers,3289,55,hipoteca
133,John Doe,10302,19,ahorro
134,Bob Johnson,8702,68,ahorro
135,Bob Johnson,14682,41,hipoteca
136,Steve Rogers,12365,70,prestamo
137,John Doe,5609,53,hipoteca
138,Steve Rogers,11628,50,ahorro
139,Diana Prince,14336,60,hipoteca
140,Steve Rogers,5554,38,ahorro
141,Alice Brown,10423,43,prestamo
142,Diana Prince,3890,53,prestamo
143,Bob Johnson,0,36,hipoteca
144,Charlie Green,13850,51,ahorro
145,Alice Brown,6600,64,hipoteca
146,Charlie Green,8018,73,hipoteca
147,Alice Brown,4378,61,prestamo
148,Alice Brown,4211,22,prestamo
149,Jane Smith,0,61,prestamo
150,Jane Smith,11311,61,prestamo
151,Charlie Green,14073,20,hipoteca
152,Charlie Green,8125,33,ahorro
153,Jane Smith,1605,63,hipoteca
154,Bob Johnson,9446,75,ahorro
155,Charlie Green,7567,66,hipoteca
156,Bob Johnson,12086,32,hipoteca
157,Diana Prince,9165,51,ahorro
158,Diana Prince,11740,25,hipoteca
159,Charlie Green,9746,32,hipoteca
160,Diana Prince,3165,74,ahorro
161,Alice Brown,10636,39,hipoteca
162,Charlie Green,5304,21,ahorro
163,Steve Rogers,3523,65,ahorro
164,Charlie Green,10109,27,hipoteca
165,John Doe,5961,54,prestamo
166,Bob Johnson,13628,34,hipoteca
167,Jane Smith,10037,59,-1
168,Bob Johnson,4225,59,ahorro
169,Diana Prince,2781,45,ahorro
170,Steve Rogers,10963,44,prestamo
171,John Doe,12268,34,ahorro
172,Alice Brown,14705,73,hipoteca
173,Diana Prince,13607,39,hipoteca
174,Diana Prince,3512,45,ahorro
175,Alice Brown,3163,23,prestamo
176,Steve Rogers,3973,53,ahorro
177,Charlie Green,4781,61,prestamo
178,John Doe,14748,54,ahorro
179,Jane Smith,6417,61,ahorro
180,Alice Brown,3109,62,ahorro
181,Charlie Green,,60,ahorro
182,Jane Smith,14879,37,hipoteca
183,John Doe,13014,53,hipoteca
184,John Doe,14564,40,ahorro
185,Alice Brown,5044,75,ahorro
186,Bob Johnson,1722,59,prestamo
187,Alice Brown,2554,25,prestamo
188,Alice Brown,3371,26,prestamo
189,Alice Brown,11479,74,ahorro
190,Charlie Green,11022,64,ahorro
191,Bob Johnson,3464,37,prestamo
192,Charlie Green,10481,73,prestamo
193,John Doe,9506,24,hipoteca
194,John Doe,1334,74,hipoteca
195,Charlie Green,9503,61,prestamo
196,John Doe,11799,18,prestamo
197,John Doe,1260,47,prestamo
198,Diana Prince,13081,63,prestamo
199,Jane Smith,12125,72,ahorro
200,Jane Smith,14723,71,prestamo
201,Steve Rogers,12096,56,ahorro
202,John Doe,6897,45,ahorro
203,Charlie Green,11355,65,ahorro
204,Charlie Green,13028,41,hipoteca
205,John Doe,14862,60,prestamo
206,Jane Smith,6336,29,hipoteca
207,Diana Prince,14880,61,prestamo
208,Alice Brown,1733,65,prestamo
209,Charlie Green,7781,39,prestamo
210,Alice Brown,13459,32,ahorro
211,Charlie Green,4100,44,hipoteca
212,Jane Smith,14397,73,prestamo
213,Jane Smith,2165,38,ahorro
214,Steve Rogers,14622,37,ahorro
215,Jane Smith,12795,29,ahorro
216,Charlie Green,2622,26,prestamo
217,Steve Rogers,2506,51,ahorro
218,Steve Rogers,13632,68,ahorro
219,John Doe,5940,74,ahorro
220,John Doe,3782,55,hipoteca
221,Diana Prince,8017,59,ahorro
222,Steve Rogers,13272,55,ahorro
223,Diana Prince,14669,74,hipoteca
224,Diana Prince,7610,54,ahorro
225,Steve Rogers,13062,29,ahorro
226,Diana Prince,5361,73,ahorro
227,Bob Johnson,0,33,ahorro
228,Steve Rogers,3329,33,hipoteca
229,Bob Johnson,13792,20,ahorro
230,Bob Johnson,13526,25,ahorro
231,Bob Johnson,9239,33,hipoteca
232,Bob Johnson,3847,67,prestamo
233,Jane Smith,5984,37,hipoteca
234,Charlie Green,7795,39,hipoteca
235,Diana Prince,6264,47,hipoteca
236,Steve Rogers,13746,51,prestamo
237,Diana Prince,11226,51,prestamo
238,Steve Rogers,14804,38,prestamo
239,Charlie Green,11833,64,ahorro
240,Alice Brown,10653,21,ahorro
241,John Doe,6827,49,prestamo
242,Charlie Green,13067,19,prestamo
243,Charlie Green,8260,64,hipoteca
244,Bob Johnson,7831,65,hipoteca
245,Jane Smith,11641,31,hipoteca
246,Charlie Green,12959,69,prestamo
247,Alice Brown,6485,41,ahorro
248,Jane Smith,11961,31,ahorro
249,Alice Brown,4850,53,hipoteca
250,Charlie Green,1042,70,prestamo
251,John Doe,5228,47,hipoteca
252,Jane Smith,3672,25,hipoteca
253,John Doe,5169,73,ahorro
254,Diana Prince,2093,56,prestamo
255,Charlie Green,4664,60,ahorro
256,Diana Prince,3614,42,prestamo
257,Diana Prince,3412,23,hipoteca
258,Steve Rogers,13819,100,ahorro
259,John Doe,4263,35,prestamo
260,John Doe,3100,69,ahorro
261,Jane Smith,13296,29,ahorro
262,Jane Smith,9363,54,hipoteca
263,Bob Johnson,11293,55,hipoteca
264,Bob Johnson,14269,70,hipoteca
265,Diana Prince,9709,21,hipoteca
